시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,무료이용시간,연체료부과단위시간,연체료,제어방식구분코드,사용방법설명,택배함종류코드,칸개수,칸깊이,칸너비,칸높이,설치일자,고객센터전화번호,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,
안심택배함,대구광역시,북구,27230,대구광역시 북구 대학로15길16,대구광역시 북구 산격동 1393-27,35.8935456,128.6083117,00:00,23:59,00:00,23:59,00:00,23:59,48,48,1000,02,"1. 물품주민 및 수령장소 지정(무인택배함), 2. 물품보관(택배기사 인증 및 수취인 핸드폰 입력), 3. 택배도착 문자발송(콜센터 운영), 4. 물품수령(고객인증)",총20개,20,600,500,1920,2015-12-01,1599-2740,대구 북구청,053-665-4314,2019-08-30,3450000,대구광역시 북구,
안심택배함,대구광역시,북구,27230,대구광역시 북구 호국로43길 20,대구광역시 북구 서변동 1777,35.9213327,128.5970474877,00:00,23:59,00:00,23:59,00:00,23:59,48,48,1000,02,"1. 물품주민 및 수령장소 지정(무인택배함), 2. 물품보관(택배기사 인증 및 수취인 핸드폰 입력), 3. 택배도착 문자발송(콜센터 운영), 4. 물품수령(고객인증)",총20개,20,600,500,1920,2015-12-01,1599-2740,대구 북구청,053-665-4314,2019-08-30,3450000,대구광역시 북구,
안심택배함,대구광역시,북구,27230,대구광역시 북구 대천로 81,대구광역시 북구 동천동 930-2,35.937318,128.5581853,00:00,23:59,00:00,23:59,00:00,23:59,48,48,1000,02,"1. 물품주민 및 수령장소 지정(무인택배함), 2. 물품보관(택배기사 인증 및 수취인 핸드폰 입력), 3. 택배도착 문자발송(콜센터 운영), 4. 물품수령(고객인증)",총20개,19,600,500,1920,2015-12-01,1599-2740,대구 북구청,053-665-4314,2019-08-30,3450000,대구광역시 북구,
안심택배함,대구광역시,북구,27230,대구광역시 북구 대구체육관로 48,대구광역시 북구 산격동 1490,35.8922716852,128.6042817326,00:00,23:59,00:00,23:59,00:00,23:59,48,48,1000,02,"1. 물품주민 및 수령장소 지정(무인택배함), 2. 물품보관(택배기사 인증 및 수취인 핸드폰 입력), 3. 택배도착 문자발송(콜센터 운영), 4. 물품수령(고객인증)",총20개,16,600,550,2890,2018-12-01,1600-5136,대구 북구청,053-665-4314,2019-08-30,3450000,대구광역시 북구,
안심택배함,대구광역시,북구,27230,대구광역시 북구 구암서로 32,대구광역시 북구 구암동 788-1,35.9389234,128.5660435,00:00,23:59,00:00,23:59,00:00,23:59,48,48,1000,02,"1. 물품주민 및 수령장소 지정(무인택배함), 2. 물품보관(택배기사 인증 및 수취인 핸드폰 입력), 3. 택배도착 문자발송(콜센터 운영), 4. 물품수령(고객인증)",총20개,16,600,550,2890,2018-12-01,1600-5136,대구 북구청,053-665-4314,2019-08-30,3450000,대구광역시 북구,
안심택배함,대구광역시,북구,27230,대구광역시 북구 대현로9길 20-1,대구광역시 북구 대현동 526,35.88659512,128.605551,00:00,23:59,00:00,23:59,00:00,23:59,48,48,1000,02,"1. 물품주민 및 수령장소 지정(무인택배함), 2. 물품보관(택배기사 인증 및 수취인 핸드폰 입력), 3. 택배도착 문자발송(콜센터 운영), 4. 물품수령(고객인증)",총20개,11,600,550,2890,2017-12-01,1600-5136,대구 북구청,053-665-4314,2019-08-30,3450000,대구광역시 북구,
안심택배함,대구광역시,북구,27230,대구광역시 북구 대현로19길 53,대구광역시 북구 대현동 103-35,35.886232,128.611243,00:00,23:59,00:00,23:59,00:00,23:59,48,48,1000,02,"1. 물품주민 및 수령장소 지정(무인택배함), 2. 물품보관(택배기사 인증 및 수취인 핸드폰 입력), 3. 택배도착 문자발송(콜센터 운영), 4. 물품수령(고객인증)",총20개,11,600,550,2890,2017-12-01,1600-5136,대구 북구청,053-665-4314,2019-08-30,3450000,대구광역시 북구,
안심택배함,대구광역시,북구,27230,대구광역시 북구 경대로17길 47-1,대구광역시 북구 복현동 573-6,35.89263207,128.6147744,00:00,23:59,00:00,23:59,00:00,23:59,48,48,1000,02,"1. 물품주민 및 수령장소 지정(무인택배함), 2. 물품보관(택배기사 인증 및 수취인 핸드폰 입력), 3. 택배도착 문자발송(콜센터 운영), 4. 물품수령(고객인증)",총20개,11,600,550,2890,2017-12-01,1600-5136,대구 북구청,053-665-4314,2019-08-30,3450000,대구광역시 북구,
안심택배함,대구광역시,북구,27230,대구광역시 북구 경진로 47,대구광역시 북구 복현동 623,35.893252,128.6170598,00:00,23:59,00:00,23:59,00:00,23:59,48,48,1000,02,"1. 물품주민 및 수령장소 지정(무인택배함), 2. 물품보관(택배기사 인증 및 수취인 핸드폰 입력), 3. 택배도착 문자발송(콜센터 운영), 4. 물품수령(고객인증)",총20개,11,600,550,2890,2017-12-01,1600-5136,대구 북구청,053-665-4314,2019-08-30,3450000,대구광역시 북구,
안심택배함,대구광역시,북구,27230,대구광역시 북구 대학로9길 2,대구광역시 북구 산격동 1499-2,35.891047,128.605927,00:00,23:59,00:00,23:59,00:00,23:59,48,48,1000,02,"1. 물품주민 및 수령장소 지정(무인택배함), 2. 물품보관(택배기사 인증 및 수취인 핸드폰 입력), 3. 택배도착 문자발송(콜센터 운영), 4. 물품수령(고객인증)",총20개,11,600,550,2890,2017-12-01,1600-5136,대구 북구청,053-665-4314,2019-08-30,3450000,대구광역시 북구,
안심택배함,대구광역시,북구,27230,대구광역시 북구 경대로5길 4,대구광역시 북구 대현동 14-1,35.8847485512,128.6131924798,00:00,23:59,00:00,23:59,00:00,23:59,48,48,1000,02,"1. 물품주민 및 수령장소 지정(무인택배함), 2. 물품보관(택배기사 인증 및 수취인 핸드폰 입력), 3. 택배도착 문자발송(콜센터 운영), 4. 물품수령(고객인증)",총20개,11,600,550,2890,2018-12-01,1600-5136,대구 북구청,053-665-4314,2019-08-30,3450000,대구광역시 북구,
안심택배함,대구광역시,북구,27230,대구광역시 북구 경대로5길 4,대구광역시 북구 산격동 489-21,35.8847485512,128.6131924798,00:00,23:59,00:00,23:59,00:00,23:59,48,48,1000,02,"1. 물품주민 및 수령장소 지정(무인택배함), 2. 물품보관(택배기사 인증 및 수취인 핸드폰 입력), 3. 택배도착 문자발송(콜센터 운영), 4. 물품수령(고객인증)",총20개,11,600,550,2890,2019-08-01,1600-5136,대구 북구청,053-665-4314,2019-08-30,3450000,대구광역시 북구,
안심택배함,대구광역시,북구,27230,대구광역시 북구 경대로5길 4,대구광역시 북구 복현동 330-1,35.8847485512,128.6131924798,00:00,23:59,00:00,23:59,00:00,23:59,48,48,1000,02,"1. 물품주민 및 수령장소 지정(무인택배함), 2. 물품보관(택배기사 인증 및 수취인 핸드폰 입력), 3. 택배도착 문자발송(콜센터 운영), 4. 물품수령(고객인증)",총20개,11,600,550,2890,2019-08-01,1600-5136,대구 북구청,053-665-4314,2019-08-30,3450000,대구광역시 북구,
안심택배함,대구광역시,북구,27230,대구광역시 북구 경대로5길 4,대구광역시 북구 태전동 1046-1,35.8847485512,128.6131924798,00:00,23:59,00:00,23:59,00:00,23:59,48,48,1000,02,"1. 물품주민 및 수령장소 지정(무인택배함), 2. 물품보관(택배기사 인증 및 수취인 핸드폰 입력), 3. 택배도착 문자발송(콜센터 운영), 4. 물품수령(고객인증)",총20개,11,600,550,2890,2019-08-01,1600-5136,대구 북구청,053-665-4314,2019-08-30,3450000,대구광역시 북구,
안심택배함,대구광역시,북구,27230,대구광역시 북구 경대로5길 4,대구광역시 북구 동천동 939,35.8847485512,128.6131924798,00:00,23:59,00:00,23:59,00:00,23:59,48,48,1000,02,"1. 물품주민 및 수령장소 지정(무인택배함), 2. 물품보관(택배기사 인증 및 수취인 핸드폰 입력), 3. 택배도착 문자발송(콜센터 운영), 4. 물품수령(고객인증)",총20개,11,600,550,2890,2019-08-01,1600-5136,대구 북구청,053-665-4314,2019-08-30,3450000,대구광역시 북구,
무인택배함,경기도,과천시,31110,경기도 과천시 관문로 136,경기도 과천시 중앙동 68,37.4331905228,126.9934104797,00:00,23:59,00:00,23:59,00:00,23:59,72,0,0,2,"품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+소형/03,01/1+02/4+03/3,01/60+02/60+03/60,01/50+02/50+03/50,01/96+02/48+03/32,2017-02-01,02-2150-3104,과천시 중앙동주민센터,02-2150-3104,2019-11-01,3970000,경기도 과천시,
,경기도,구리시,41310,경기도 구리시 체육관로 137-25,경기도 구리시 교문동 153-1,37.5961625856,127.1351684,,,,,2019-12-,23:59,0,48,1000,02,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02,01/8+02/32,01/60+02/60,01/50+02/50,01/45+02/23,2017-12-11,1899-4711,㈜세누,031-550-2262,2019-12-17,3980000,경기도 구리시,
,경기도,구리시,41310,경기도 구리시 검배로 9번길 21,경기도 구리시 수택동 526-2,37.600963,127.1425618,,,,,2019-12-,23:59,0,48,1000,02,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02,01/8+02/32,01/60+02/60,01/50+02/50,01/45+02/23,2017-12-11,1899-4711,㈜세누,031-550-2262,2019-12-17,3980000,경기도 구리시,
회천2동행정복지센터,경기도,양주시,41630,"경기도 양주시 평화로1475번길 39, 회천2동행정복지센터 내","경기도 양주시 덕계동 467-8, 회천2동행정복지센터",37.82166163,127.0467626,24:00,24:00,24:00,24:00,24:00,24:00,48,24,1000,01,"물품 배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+소형/03+제어부/04+구급함/05,01/1+02/5+03/15+04/1+05/1,01/60+02/60+03/60+04/60+05/60,01/50+02/50+03/50+04/50+05/50,01/67.5+02/45+03/22.5+04/50+05/50,2018-09-07,1600-5136,양주시청,031-8082-5804,2019-09-03,5590000,경기도 양주시,
엄상1·2통 마을회관,경기도,양주시,41630,"경기도 양주시 엄상동길 38, 엄상1·2통 마을회관 앞","경기도 양주시 고암동 140-8, 엄상1·2통마을회관 앞",37.83139226,127.0682743,24:00,24:00,24:00,24:00,24:00,24:00,48,24,1000,01,"물품 배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+소형/03+제어부/04+구급함/05,01/1+02/5+03/15+04/1+05/1,01/60+02/60+03/60+04/60+05/60,01/50+02/50+03/50+04/50+05/50,01/67.5+02/45+03/22.5+04/50+05/50,2018-09-07,1600-5136,양주시청,031-8082-5804,2019-09-03,5590000,경기도 양주시,
도원지하보도,인천광역시,중구,28110,인천광역시 중구 참외전로 지하 244,,37.468681,126.641669,24:00,24:00,24:00,24:00,24:00,24:00,48,24,1000,02,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형/02+소형/04,02/6+04/12,02/600+04/600,02/500+04/500,02/450+04/225,2016-06-20,1899-4711,인천광역시 중구 주민복지과,032-760-7342,2019-07-25,3490000,인천광역시 중구,
인천광역시 중구청,인천광역시,중구,28110,인천광역시 중구 신포로27번길 80,,37.4740810350,126.6213401434,24:00,24:00,24:00,24:00,24:00,24:00,48,24,1000,02,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형/02+소형/04,02/6+04/12,02/600+04/600,02/500+04/500,02/450+04/225,2018-01-01,1899-4711,인천광역시 중구 주민복지과,032-760-7342,2019-07-25,3490000,인천광역시 중구,
영종복합청사,인천광역시,중구,28110,인천광역시 중구 운남서로 100,,37.4941611735,126.5314849257,24:00,24:00,24:00,24:00,24:00,24:00,48,24,1000,02,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",중형/02+소형/04,02/6+04/12,02/600+04/600,02/500+04/500,02/450+04/225,2019-01-03,1899-4711,인천광역시 중구 주민복지과,032-760-7342,2019-07-25,3490000,인천광역시 중구,
여성안심택배함,대구광역시,남구,27200,대구광역시 남구 중앙대로22길 100(봉덕3),대구광역시 남구 봉덕동 702-6,35.8424354,128.5959628,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",특대형/01+대형/02+중형/03+중소형/04+소형/05+특소형/06,01/1+02/3+03/0+04/12+05/3+06/0,01/55+02/55+03/55+04/55+05/55+06/55,01/50+02/50+03/50+04/50+05/50+06/50,01/900+02/450+03/360+04/300+05/225+06/180,2015-06-15,1599-2740,하이스트시스템,053-664-2263,2019-09-04,3440000,대구광역시 남구,
여성안심택배함,대구광역시,남구,27200,대구광역시 남구 큰골길 53(대명9),대구광역시 남구 대명동 2680-7,35.8372414,128.5790384,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",특대형/01+대형/02+중형/03+중소형/04+소형/05+특소형/06,01/0+02/1+03/4+04/0+05/3+06/12,01/55+02/55+03/55+04/55+05/55+06/55,01/50+02/50+03/50+04/50+05/50+06/50,01/900+02/450+03/360+04/300+05/225+06/180,2017-03-15,1599-2740,하이스트시스템,053-664-2263,2019-09-04,3440000,대구광역시 남구,
여성안심택배함,대구광역시,남구,27200,대구광역시 남구 명덕로32길 30(대명2),대구광역시 남구 대명동1827,35.8552846,128.586452,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",특대형/01+대형/02+중형/03+중소형/04+소형/05+특소형/06,01/1+02/3+03/0+04/12+05/3+06/1,01/55+02/55+03/55+04/55+05/55+06/55,01/50+02/50+03/50+04/50+05/50+06/50,01/900+02/450+03/360+04/300+05/225+06/180,2018-12-24,1599-2741,하이스트시스템,053-664-2264,2019-09-04,3440000,대구광역시 남구,
여성안심택배함,대구광역시,남구,27200,대구광역시 남구 대명남로73(대명6),대구광역시 남구 대명동1086-1,35.8350915859,128.566078,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",특대형/01+대형/02+중형/03+중소형/04+소형/05+특소형/06,01/0+02/1+03/4+04/0+05/3+06/13,01/55+02/55+03/55+04/55+05/55+06/55,01/50+02/50+03/50+04/50+05/50+06/50,01/900+02/450+03/360+04/300+05/225+06/180,2018-12-24,1599-2742,하이스트시스템,053-664-2265,2019-09-04,3440000,대구광역시 남구,
여성안심택배함,대구광역시,남구,27200,대구광역시 남구 관문시장4길53(대명11),대구광역시 남구 대명동1180,35.836240376,128.560634137,00:00,23:59,00:00,23:59,00:00,23:59,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",특대형/01+대형/02+중형/03+중소형/04+소형/05+특소형/06,01/1+02/3+03/0+04/12+05/3+06/2,01/55+02/55+03/55+04/55+05/55+06/55,01/50+02/50+03/50+04/50+05/50+06/50,01/900+02/450+03/360+04/300+05/225+06/180,2018-12-24,1599-2743,하이스트시스템,053-664-2266,2019-09-04,3440000,대구광역시 남구,
갈현1동주민센터,서울특별시,은평구,11380,서울특별시 은평구 갈현로 301 안심택배함,,37.6236889300,126.9166790000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,25,55,45,22,2013-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구,
구산동주민센터,서울특별시,은평구,11380,서울특별시 은평구 갈현로 17길 10 안심택배함,,37.6117551700,126.9103506000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,19,55,45,22,2015-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구,
녹번119안전센터청사,서울특별시,은평구,11380,서울특별시 은평구 은평로 245 안심택배함,,37.6011057900,126.9351485000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,19,55,45,22,2014-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구,
불광1치안센터,서울특별시,은평구,11380,서울특별시 은평구 불광로 129 안심택배함,,37.6183045300,126.9329326000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,20,55,45,22,2014-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구,
신사종합사회복지관,서울특별시,은평구,11380,서울특별시 은평구 은평로 38 안심택배함,,37.5980494400,126.9121923000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,19,55,45,22,2014-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구,
역촌동주민센터,서울특별시,은평구,11380,서울특별시 은평구 연서로 59 안심택배함,,37.6044014200,126.9151011000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,19,55,45,22,2013-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구,
증산정보도서관,서울특별시,은평구,11380,서울특별시 은평구 증산로5길 6 안심택배함,,37.5828072900,126.9076699000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,37,55,45,22,2013-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구,
대조동꿈나무어린이도서관,서울특별시,은평구,11380,서울특별시 은평구 연서로 20길 24-6 안심택배함,,37.6138235900,126.9207184000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,16,55,45,22,2017-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구,
연신내지구대,서울특별시,은평구,11380,서울특별시 은평구 갈현로 195 안심택배함,,37.6152098600,126.9127129000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,16,55,45,22,2016-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구,
불광보건소,서울특별시,은평구,11380,서울특별시 은평구 연서로24길 11 안심택배함,,37.6159264400,126.9201103000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,16,55,45,22,2016-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구,
아인스하임,서울특별시,은평구,11380,서울특별시 은평구 은평터널로7가길 8 안심택배함,,37.5920921000,126.9032943000,00:00,24:00,00:00,24:00,00:00,24:00,48,24,1000,01,"물품 배송 시 휴대폰 문자로 전송되는 택배보관함번호, 인증번호를 확인하여, 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",소형/04,13,55,45,22,2016-01-01,1899-4708,새누,02-865-8384,2019-06-30,3110000,서울특별시 은평구,
여성안심 무인방범택배함,경기도,평택시,41220,경기도 평택시 경기대로 1366,,37.0658098486,127.0650903035,23:59,23:59,23:59,23:59,23:59,23:59,48,48,1000,02,민원의 휴대폰 번호와 이용자 인증을 통해 택배를 주고 받을수 있도록하며 원격 서비스를 통해 택배서비스에 필요한 모든 기능을 제공,1)대형01,84,60,215,230,2018-08-21,1600-0764,평택시 여성가족과,031-8024-2914,2019-09-25,3910000,경기도 평택시,
여성안심 무인방범택배함,경기도,평택시,41220,경기도 평택시 서동대로 3825,,36.9946390505,127.1339684966,23:59,23:59,23:59,23:59,23:59,23:59,48,48,1000,02,민원의 휴대폰 번호와 이용자 인증을 통해 택배를 주고 받을수 있도록하며 원격 서비스를 통해 택배서비스에 필요한 모든 기능을 제공,2)소형03,20,60,120,305,2018-08-21,1600-0764,평택시 여성가족과,031-8024-2914,2019-09-25,3910000,경기도 평택시,
여성안심 무인방범택배함,경기도,평택시,41220,경기도 평택시 포승읍 여술로47,,36.9893614507,126.8474031199,23:59,23:59,23:59,23:59,23:59,23:59,48,48,1000,02,민원의 휴대폰 번호와 이용자 인증을 통해 택배를 주고 받을수 있도록하며 원격 서비스를 통해 택배서비스에 필요한 모든 기능을 제공,20대형01,84,60,215,230,2018-08-21,1600-0764,평택시 여성가족과,031-8024-2914,2019-09-25,3910000,경기도 평택시,
중구청,대구광역시,중구,27110,대구광역시 중구 국채보상로139길 1,,35.86932522,128.6061572,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/01+02/03+03/12+04/03,01/50+02/50+03/50+04/50,01/52+02/44+03/52+04/44,01/44+02/35+03/22+04/17,2015-06-20,1599-2740,중구청 안전총괄과,05-661-2253,2019-11-21,6270000,대구광역시,
서문시장 상인연합회,대구광역시,중구,27110,대구광역시 중구 큰장로26길 45,,35.86890863,128.5807734,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/01+02/03+03/12+04/03,01/50+02/50+03/50+04/50,01/52+02/44+03/52+04/44,01/44+02/35+03/22+04/17,2019-09-28,1599-2740,중구청 안전총괄과,05-661-2253,2019-11-21,6270000,대구광역시,
동구청,대구광역시,동구,27140,대구광역시 동구 아양로 207,,35.88655942,128.6354741,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/01+02/03+03/12+04/03,01/50+02/50+03/50+04/50,01/52+02/44+03/52+04/44,01/44+02/35+03/22+04/17,2015-06-20,1599-2740,동구청 안전총괄과,053-662-2897,2019-11-21,6270000,대구광역시,
동촌동주민센터,대구광역시,동구,27140,대구광역시 동구 동촌로11길 5,,35.88993781,128.6496203,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/01+02/04+03/03+04/12,01/50+02/50+03/50+04/50,01/52+02/44+03/52+04/44,01/44+02/35+03/22+04/17,2015-06-20,1599-2740,동구청 안전총괄과,053-662-2897,2019-11-21,6270000,대구광역시,
효목2동주민센터,대구광역시,동구,27140,대구광역시 동구 화랑로25길 45,,35.8781522,128.6412466,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/01+02/03+03/12+04/03,01/50+02/50+03/50+04/50,01/52+02/44+03/52+04/44,01/44+02/35+03/22+04/17,2015-06-20,1599-2740,동구청 안전총괄과,053-662-2897,2019-11-21,6270000,대구광역시,
신암4동 행정복지센터,대구광역시,동구,27140,대구광역시 동구 신암남로23길 53,,35.8850364,128.6293294,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/01+02/03+03/12+04/03,01/50+02/50+03/50+04/50,01/52+02/44+03/52+04/44,01/44+02/35+03/22+04/17,2017-12-18,1599-2740,동구청 안전총괄과,053-662-2897,2019-11-21,6270000,대구광역시,
지저동 행정복지센터,대구광역시,동구,27140,대구광역시 동구 해동로3길 80,,35.8933914,128.6382814,00:00,23:59,00:00,23:59,00:00,23:59,0,48,1000,2,"물품배송시 휴대폰 문자로 전송되는 택배보관함 번호, 인증번호를 확인하여 해당 보관함에서 본인 휴대폰 번호와 전송받은 인증번호를 입력한 뒤 보관함을 열어 물품 수령",대형/01+중형/02+중소형/03+소형/04,01/01+02/04+03/03+04/12,01/50+02/50+03/50+04/50,01/52+02/44+03/52+04/44,01/44+02/35+03/22+04/17,2017-12-18,1599-2740,동구청 안전총괄과,053-662-2897,2019-11-21,6270000,대구광역시,
